ID,unidade_ID,sku,nomeProduto,qtdSugerida,qtdAprovada,justificativa,fornecedorSugerido,prazoDesejado,status_code,aprovador,dataDecisao,origem_code,urgenciaCriticality
pr-u178-MR5500-001,u178,MR550053,Sandália Feminina (coleção A),102,,Stock at 38 units below reorder point 60. AI Agent recommends 102 units based on 6.8 daily sales rate and 10-day lead time.,Fashion Imports BR,2026-08-15,PENDENTE,,,AGENTE,2
pr-u156-MR5500-001,u156,MR550053,Sandália Feminina (coleção A),98,,Stock at 22 units below reorder point 60. AI Agent recommends 98 units based on 6.5 daily sales rate and 10-day lead time.,Fashion Imports BR,2026-08-15,PENDENTE,,,AGENTE,1
pr-u189-MR5500-001,u189,MR550053,Sandália Feminina (coleção A),104,,Stock at 15 units below reorder point 50. AI Agent recommends 104 units based on 5.8 daily sales rate and 12-day lead time.,Fashion Imports BR,2026-08-15,PENDENTE,,,AGENTE,1
pr-u163-MR5500-001,u163,MR550053,Sandália Feminina (coleção A),112,,Stock at 18 units below reorder point 50. AI Agent recommends 112 units based on 6.2 daily sales rate and 12-day lead time.,Fashion Imports BR,2026-08-15,PENDENTE,,,AGENTE,1
pr-u114-MR5500-001,u114,MR550053,Sandália Feminina (coleção A),81,,Stock at 42 units below reorder point 50. AI Agent recommends 81 units based on 4.5 daily sales rate and 12-day lead time.,Fashion Imports BR,2026-08-15,PENDENTE,,,AGENTE,2
pr-u289-MR5500-001,u289,MR550053,Sandália Feminina (coleção A),76,,Stock at 48 units below reorder point 50. AI Agent recommends 76 units based on 4.2 daily sales rate and 12-day lead time.,Fashion Imports BR,2026-08-15,PENDENTE,,,AGENTE,2
pr-u178-MR5501-001,u178,MR550153,Sandália Feminina (coleção C),82,,Stock at 30 units below reorder point 50. AI Agent recommends 82 units based on 5.5 daily sales rate and 10-day lead time.,Fashion Imports BR,2026-08-15,PENDENTE,,,AGENTE,2
pr-u156-MR5501-001,u156,MR550153,Sandália Feminina (coleção C),75,,Stock at 20 units below reorder point 50. AI Agent recommends 75 units based on 5.0 daily sales rate and 10-day lead time.,Fashion Imports BR,2026-08-15,PENDENTE,,,AGENTE,1
pr-u163-MR5501-001,u163,MR550153,Sandália Feminina (coleção C),95,,Stock at 12 units below reorder point 45. AI Agent recommends 95 units based on 5.3 daily sales rate and 12-day lead time.,Fashion Imports BR,2026-08-15,PENDENTE,,,AGENTE,1
pr-u114-MR5710-001,u114,MR571000,Biquíni Poá,62,,Stock at 44 units below reorder point 40. AI Agent recommends 62 units based on 5.2 daily sales rate and 8-day lead time.,CostaVest,2026-08-15,PENDENTE,,,AGENTE,2
