ID,processo_ID,etapa_ID,nome,status_code,tarefaCriticality,responsavel,dataVencimento,dataConclusao,observacao
tar-301-1,proc-301,etapa-1,Assinatura do contrato de franquia,CONCLUIDA,3,Consultor Regional Sul,2026-06-15,2026-06-10,Contrato assinado sem pendências
tar-301-2,proc-301,etapa-2,Aprovação do ponto comercial,CONCLUIDA,3,Consultor Regional Sul,2026-07-01,2026-06-28,Ponto no Batel aprovado
tar-301-3,proc-301,etapa-3,Reforma conforme layout da marca,CONCLUIDA,3,Arquiteto Credenciado,2026-08-30,2026-08-25,Obra concluída no prazo
tar-301-4,proc-301,etapa-4,Pedido do estoque inicial,EM_ANDAMENTO,2,Gestor de Estoque,2026-09-15,,Aguardando entrega do fornecedor
tar-301-5,proc-301,etapa-5,Treinamento da equipe,PENDENTE,2,RH Franqueadora,2026-09-25,,Agendado para setembro
tar-302-1,proc-302,etapa-1,Assinatura do contrato de franquia,CONCLUIDA,3,Consultor Regional CO,2026-05-30,2026-05-28,OK
tar-302-2,proc-302,etapa-2,Aprovação do ponto comercial,CONCLUIDA,3,Consultor Regional CO,2026-06-20,2026-06-18,Ponto em Águas Claras aprovado
tar-302-3,proc-302,etapa-3,Reforma conforme layout da marca,EM_ANDAMENTO,2,Arquiteto Credenciado,2026-08-15,,Obra 60% concluída
tar-302-4,proc-302,etapa-4,Pedido do estoque inicial,BLOQUEADA,1,Gestor de Estoque,2026-08-10,,Bloqueado: aguardando conclusão da obra
tar-303-1,proc-303,etapa-1,Assinatura do contrato de franquia,CONCLUIDA,3,Consultor Regional NE,2026-07-15,2026-07-12,OK
tar-303-2,proc-303,etapa-2,Aprovação do ponto comercial,EM_ANDAMENTO,2,Consultor Regional NE,2026-08-30,,Em negociação do contrato de locação
tar-303-3,proc-303,etapa-3,Reforma conforme layout da marca,PENDENTE,2,Arquiteto Credenciado,2026-10-15,,Depende da aprovação do ponto
