ID,catalogo_ID,sku,nomeProduto,categoria,subCategoria,precoMinimo,precoMaximo,precoSugerido,ativo
ic-001,cat-2026,MR550053,Sandália Feminina (coleção A),Sandálias,Moda,189.0,239.0,219.0,true
ic-002,cat-2026,MR550099,Sandália Feminina (coleção B),Sandálias,Moda,169.0,219.0,199.0,true
ic-003,cat-2026,MR550153,Sandália Feminina (coleção C),Sandálias,Moda,199.0,249.0,229.0,true
ic-004,cat-2026,MR550253,Sandália Feminina (coleção D),Sandálias,Moda,209.0,259.0,239.0,true
ic-005,cat-2026,MR550050,Blusa Feminina Decote V,Blusas,Moda,129.0,169.0,149.0,true
ic-006,cat-2026,MR550051,Blusa Feminina Decote Barco,Blusas,Moda,139.0,179.0,159.0,true
ic-007,cat-2026,MR550052,Blusa Feminina Decote Redondo,Blusas,Moda,119.0,159.0,139.0,true
ic-008,cat-2026,MR550060,Camiseta Masculina Decote V,Camisetas,Moda,79.0,109.0,95.0,true
ic-009,cat-2026,MR550061,Calça Jeans Masculina Stone Wash,Calças,Moda,249.0,299.0,279.0,true
ic-010,cat-2026,MR550070,Óculos de Sol (unissex),Acessórios,Acessórios,149.0,199.0,179.0,true
ic-011,cat-2026,MR571000,Biquíni Poá,Vestuário Praia,Moda,139.0,179.0,159.0,true
ic-012,cat-2026,MR550062,Sapatênis Masculino Náutico,Calçados,Moda,289.0,349.0,319.0,true
ic-013,cat-2026,MR571010,Hidratante Corporal Premium,Cuidados Pessoais,Beleza,89.0,119.0,99.0,true
ic-014,cat-2026,MR571011,Sérum Facial Vitamina C,Cuidados Pessoais,Beleza,159.0,209.0,179.0,true
ic-015,cat-2026,MR571012,Kit Perfume Body Splash,Perfumaria,Beleza,129.0,169.0,149.0,true
ic-016,cat-2026,MR571013,Batom Matte Longa Duração,Maquiagem,Beleza,59.0,89.0,69.0,true
ic-017,cat-2026,MR571014,Paleta Sombras Neutras,Maquiagem,Beleza,119.0,159.0,139.0,true
ic-018,cat-2026,MR550080,Bolsa Feminina Couro Eco,Bolsas,Acessórios,319.0,399.0,359.0,true
ic-019,cat-2026,MR550081,Cinto Masculino Couro,Cintos,Acessórios,89.0,119.0,99.0,true
ic-020,cat-2026,MR550082,Carteira Masculina RFID,Carteiras,Acessórios,139.0,179.0,159.0,true
ic-021,cat-2026,MR550200,Bota Couro Inverno,Calçados,Moda,449.0,549.0,499.0,true
ic-022,cat-2026,MR550201,Tênis Casual Feminino,Calçados,Moda,229.0,289.0,259.0,true
